"Relative Time (Process)","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-AdamW.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-ModernBERT-base-msmarco-bce-Lion.Cosine-ep-1-3 - system/gpu.2.memoryAllocated__MAX"
"600.417426587","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"615.407388619","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"615.407792993","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"630.405563901","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"630.406154406","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"645.402690723","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"645.404899558","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"660.397124595","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"660.400061273","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"675.39966338","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"675.401613316","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"690.404477188","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"690.406121534","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"705.401187042","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"705.418768867","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"720.399584282","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"720.409644547","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"735.398474463","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"735.402869451","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"750.406670938","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"750.407084912","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"765.402566417","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"765.40394613","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"780.397191595","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"780.399615354","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"795.396737677","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"795.397773477","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"810.388137318","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"810.407667636","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"825.402056915","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"825.40701884","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"840.399429073","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"840.40251412","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"855.401245475","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"855.402529101","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"870.399865058","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"870.403712769","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","68.99773161413563","68.99773161413563","68.99773161413563","59.44229182946948","59.44229182946948","59.44229182946948"
"885.399255208","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"885.401548404","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"900.401167129","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"900.402656396","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"915.40099764","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"915.402493475","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"930.397055164","71.26096205609099","71.26096205609099","71.26096205609099","71.49838282538855","71.49838282538855","71.49838282538855","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"930.398658588","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"945.403247726","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"945.406608919","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"960.388788777","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"960.406073457","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"975.399283756","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"975.467682286","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"990.399838437","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"990.411604708","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"1005.386626296","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"1005.406325901","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"1020.402173423","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"1020.404276167","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"1035.403077774","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"1035.403482906","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"1050.40056836","71.26096205609099","71.26096205609099","71.26096205609099","83.35042762872276","83.35042762872276","83.35042762872276","59.637655205348615","59.637655205348615","59.637655205348615","","","","","","","","",""
"1050.401155359","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
"1065.398563501","","","","","","","","","","69.21181731353651","69.21181731353651","69.21181731353651","80.5675848745333","80.5675848745333","80.5675848745333","59.44229182946948","59.44229182946948","59.44229182946948"
